BENCH PLACEMENT DISTANCE REDUCEDISTANCE VAL ITER
random los 245 643 0.7197539806365967 1
random center 277 187 0.4989888668060303 1
bipartite los 61 643 0.4505119323730469 1
bipartite center 61 187 0.2743561267852783 1
random los 297 637 0.8544182777404785 2
random center 269 221 0.601057767868042 2
bipartite los 65 637 0.4436931610107422 2
bipartite center 65 221 0.2727212905883789 2
random los 287 619 0.7935864925384521 3
random center 261 199 0.48947858810424805 3
bipartite los 71 619 0.5053384304046631 3
bipartite center 71 199 0.30614709854125977 3
random los 253 631 0.7128322124481201 4
random center 271 204 0.5015501976013184 4
bipartite los 69 631 0.45707201957702637 4
bipartite center 69 204 0.2807011604309082 4
random los 292 662 0.765798807144165 5
random center 244 198 0.4422578811645508 5
bipartite los 98 662 0.48810768127441406 5
bipartite center 98 198 0.31368255615234375 5
random los 288 634 0.7623863220214844 6
random center 286 203 0.546684980392456 6
bipartite los 66 634 0.517387866973877 6
bipartite center 66 203 0.33046817779541016 6
random los 242 659 0.7099215984344482 7
random center 264 211 0.6484954357147217 7
bipartite los 66 659 0.492260217666626 7
bipartite center 66 211 0.2684941291809082 7
random los 251 621 0.7468922138214111 8
random center 255 208 0.4611978530883789 8
bipartite los 71 621 0.45029401779174805 8
bipartite center 71 208 0.3541257381439209 8
random los 264 622 0.6836211681365967 9
random center 258 203 0.5297327041625977 9
bipartite los 66 622 0.45007824897766113 9
bipartite center 66 203 0.24242782592773438 9
random los 249 643 0.6029579639434814 10
random center 289 203 0.514000654220581 10
bipartite los 63 643 0.5160806179046631 10
bipartite center 63 203 0.39697694778442383 10
